,id,Degree,In-degree,Out-degree,Weighted degree,Weighted in-degree,Weighted out-degree,Clustering coefficient,Pagerank,Degree centrality,In-degree centrality,Out-degree centrality,Betweenness centrality,Clossness centrality,Eigenvector centrality,Katz centrality,Harmonic centrality,Load centrality,Mean shortest path length,Max shortest path length
21,14; Barri Fortuny 1,2,1,1,4.0,2.0,2.0,0.0,0.004881395402273397,0.009852216748768473,0.0049261083743842365,0.0049261083743842365,0.05750377993464372,0.03971048513302034,0.0014683217380796819,0.06805968838496476,11.066784083847311,0.057503779934643715,16.46,36
22,15; Barri Fortuny 2,2,1,1,2.0,1.0,1.0,0.0,0.0027839159358107476,0.009852216748768473,0.0049261083743842365,0.0049261083743842365,0.017997366239086963,0.0464,0.00834657416781177,0.06805969451033678,12.43063710409442,0.017997366239086963,25.13,46
23,16; Barri Fortuny 2 bis,3,1,2,4.0,2.0,2.0,0.0,0.00405810317771135,0.014778325123152709,0.0049261083743842365,0.009852216748768473,0.17722203254808244,0.05930470347648262,0.03595979265738195,0.06826387153574279,17.207881637747043,0.17686436131297859,15.68,36
24,13; Barri Montserrat,2,1,1,4.0,2.0,2.0,0.0,0.004862828416695467,0.009852216748768473,0.0049261083743842365,0.0049261083743842365,0.057503779934643715,0.048024603737875565,0.008071754897571478,0.06806036830125853,13.293258070773472,0.057503779934643715,20.8,41
25,18; Bellissens 1,2,1,1,2.0,1.0,1.0,0.0,0.004742644124311644,0.009852216748768473,0.0049261083743842365,0.0049261083743842365,0.08493878944544701,0.03209486166007905,0.00011280417710587252,0.06805968838496476,9.324119311537544,0.08493878944544701,19.0,40
26,19; Bellissens 2,2,1,1,2.0,1.0,1.0,0.0,0.00200849490718364,0.009852216748768473,0.0049261083743842365,0.0049261083743842365,0.08493878944544701,0.06217457886676876,0.05245105518608814,0.06894515991283931,18.451783430305028,0.08493878944544701,34.0,58
27,233; Biblioteca Pere Anguera 1,2,1,1,2.0,1.0,1.0,0.0,0.0029013010601355014,0.009852216748768473,0.0049261083743842365,0.0049261083743842365,0.027703262937131153,0.036848792884371026,0.000777892575942007,0.06805968838496476,10.399930576425852,0.027703262937131153,22.05,43
28,234; Biblioteca Pere Anguera 2,2,1,1,4.0,2.0,2.0,0.0,0.004184660529253335,0.009852216748768473,0.0049261083743842365,0.0049261083743842365,0.033369100456843714,0.05637322965842821,0.02558173537439915,0.06808010424989375,15.918519863516849,0.03373896502950788,18.66,41
29,20; Boca de la Mina,2,1,1,4.0,2.0,2.0,0.0,0.004307372128397297,0.009852216748768473,0.0049261083743842365,0.0049261083743842365,0.039225966931668535,0.05731225296442688,0.04088934385092813,0.06806044793109473,15.175171664138418,0.039225966931668535,16.2,34
30,27; CAP Marià Fortuny 1,5,2,3,6.0,3.0,3.0,0.0,0.006608944067130381,0.024630541871921183,0.009852216748768473,0.014778325123152709,0.20016989383667436,0.05989967542047802,0.02662557220957018,0.07488607247585302,18.519281939529883,0.1998122226015705,15.59,35
31,28; CAP Marià Fortuny 2,2,1,1,2.0,1.0,1.0,0.0,0.0024100265262261894,0.009852216748768473,0.0049261083743842365,0.0049261083743842365,0.017997366239086963,0.04833333333333333,0.011732212803197235,0.06805975576405694,12.929741257706494,0.017997366239086963,25.99,47
32,29; CAP Sant Pere,3,2,1,6.0,3.0,3.0,0.0,0.004570692920951003,0.014778325123152709,0.009852216748768473,0.0049261083743842365,0.14831569363832933,0.07932786244626808,0.2209380119911535,0.07720877679205042,23.147536167524137,0.14810637467687657,13.98,32
33,165; CESDA 1,2,1,1,2.0,1.0,1.0,0.0,0.004417584412486514,0.009852216748768473,0.0049261083743842365,0.0049261083743842365,0.08493878944544701,0.03953261927945472,0.0012361758286832702,0.06805968838496476,10.875842937020312,0.08493878944544701,24.84,47
34,177; CESDA 2,2,1,1,2.0,1.0,1.0,0.0,0.003974524840106554,0.009852216748768473,0.0049261083743842365,0.0049261083743842365,0.08493878944544701,0.04556677890011223,0.004834967300457536,0.06805968838496476,12.322750513901804,0.08493878944544701,28.17,51
35,24; Camí de Tarragona 1,2,1,1,4.0,2.0,2.0,0.0,0.004724797783014835,0.009852216748768473,0.0049261083743842365,0.0049261083743842365,0.10560243216439873,0.057474518686296716,0.010361128007040433,0.06942089918119826,17.118470093015972,0.10597229673706288,19.52,38
36,23; Camí de Tarragona 2,3,1,2,8.0,4.0,4.0,0.0,0.005110709709685737,0.014778325123152709,0.0049261083743842365,0.009852216748768473,0.140072997447528,0.05538881309686221,0.03258512209511244,0.06812917460511314,15.039134669748305,0.1424791493927718,14.98,40
37,26; Camí de Valls 1,3,2,1,6.0,3.0,3.0,0.0,0.0067647343364529225,0.014778325123152709,0.009852216748768473,0.0049261083743842365,0.13768310328569805,0.07631578947368421,0.0428074106275764,0.07494749770642849,21.491543053386337,0.1380285811832415,17.73,36
38,25; Camí de Valls 2,3,2,1,8.0,4.0,4.0,0.0,0.00519014932380602,0.014778325123152709,0.009852216748768473,0.0049261083743842365,0.140072997447528,0.06160849772382398,0.0643893273140461,0.0750087146743554,17.892452738459923,0.1424791493927718,16.79,42
39,171; Carles Riba 1,2,1,1,2.0,1.0,1.0,0.0,0.0021351081955185733,0.009852216748768473,0.0049261083743842365,0.0049261083743842365,0.027703262937131153,0.03930300096805421,0.0015403032102650899,0.06805968838496476,10.961360552871767,0.027703262937131153,23.74,45
